Object ID,Colloquial Name,Current State,S3,People,Parent Object ID,Tags,Notes
T61,### Active Projects,Active,,,,S3-1,
T68,### Active Projects {T61},Active,,,,S3-1,
T76,### Active Projects {T61} {T68},Active,,,,S3-1,
T85,### Active Projects {T61} {T68} {T76},Active,,,,S3-1,
T94,### Active Projects {T61} {T68} {T76} {T85},Active,,,,S3-1,
T103,### Active Projects {T61} {T68} {T76} {T85} {T94},Active,,,,S3-1,
T110,### Active Projects {T61} {T68} {T76} {T85} {T94} {T103},Active,,,,S3-1,
T45,(• carry to 2025-11-01) Need to reach out to Dan for someone at Hennig who could be the contact to talk with about CYT Sponsorship,Active,,,,,
T40,"Advance Attachment A rollout framework (#Big3, @Gregg)",Active,,,,S3-1,
T64,"Advance Attachment A rollout framework (#Big3, @Gregg) {T40 #Today}",Active,,,,S3-1,
T72,"Advance Attachment A rollout framework (#Big3, @Gregg) {T40 #Today} {T64}",Active,,,,S3-1,
T81,"Advance Attachment A rollout framework (#Big3, @Gregg) {T40 #Today} {T64} {T72}",Active,,,,S3-1,
T90,"Advance Attachment A rollout framework (#Big3, @Gregg) {T40 #Today} {T64} {T72} {T81}",Active,,,,S3-1,
T99,"Advance Attachment A rollout framework (#Big3, @Gregg) {T40 #Today} {T64} {T72} {T81} {T90}",Active,,,,S3-1,
T115,"Advance Attachment A rollout framework (#Big3, @Gregg) {T40 #Today} {T64} {T72} {T81} {T90} {T99}",Active,,,,S3-1,
T80,"Advance Attachment A rollout framework (#Big3, @Gregg) {T40}",Active,,,,S3-1,
T89,"Advance Attachment A rollout framework (#Big3, @Gregg) {T40} {T80}",Active,,,,S3-1,
T98,"Advance Attachment A rollout framework (#Big3, @Gregg) {T40} {T80} {T89}",Active,,,,S3-1,
T114,"Advance Attachment A rollout framework (#Big3, @Gregg) {T40} {T80} {T89} {T98}",Active,,,,S3-1,
T9,Call Orville Quante about broken baffle.,Active,,,,S3-1,### Next Week + After
T71,Call Orville Quante about broken baffle. {T9},Active,,,,S3-1,### Next Week + After
T79,Call Orville Quante about broken baffle. {T9} {T71},Active,,,,S3-1,### Next Week + After
T88,Call Orville Quante about broken baffle. {T9} {T71} {T79},Active,,,,S3-1,### Next Week + After
T97,Call Orville Quante about broken baffle. {T9} {T71} {T79} {T88},Active,,,,S3-1,### Next Week + After
T106,Call Orville Quante about broken baffle. {T9} {T71} {T79} {T88} {T97},Active,,,,S3-1,### Next Week + After
T113,Call Orville Quante about broken baffle. {T9} {T71} {T79} {T88} {T97} {T106},Active,,,,S3-1,### Next Week + After
T38,Define process & ownership,Active,,,T40,S3-1,
T64.2,Define process & ownership {T38},Active,,,T64,S3-1,
T80.2,Define process & ownership {T38},Active,,,T80,S3-1,
T72.2,Define process & ownership {T38} {T64.2},Active,,,T72,S3-1,
T81.2,Define process & ownership {T38} {T64.2} {T72.2},Active,,,T81,S3-1,
T90.2,Define process & ownership {T38} {T64.2} {T72.2} {T81.2},Active,,,T90,S3-1,
T99.2,Define process & ownership {T38} {T64.2} {T72.2} {T81.2} {T90.2},Active,,,T99,S3-1,
T115.2,Define process & ownership {T38} {T64.2} {T72.2} {T81.2} {T90.2} {T99.2},Active,,,T115,S3-1,
T89.2,Define process & ownership {T38} {T80.2},Active,,,T89,S3-1,
T98.2,Define process & ownership {T38} {T80.2} {T89.2},Active,,,T98,S3-1,
T114.2,Define process & ownership {T38} {T80.2} {T89.2} {T98.2},Active,,,T114,S3-1,
T4,Define scope & customer list (tracker),Active,,,T40,Big3; S3-1,### Today
T64.3,Define scope & customer list (tracker) {T4 #Today},Active,,,T64,S3-1,### Today
T72.3,Define scope & customer list (tracker) {T4 #Today} {T64.3},Active,,,T72,S3-1,### Today
T81.3,Define scope & customer list (tracker) {T4 #Today} {T64.3} {T72.3},Active,,,T81,S3-1,### Today
T90.3,Define scope & customer list (tracker) {T4 #Today} {T64.3} {T72.3} {T81.3},Active,,,T90,S3-1,### Today
T99.3,Define scope & customer list (tracker) {T4 #Today} {T64.3} {T72.3} {T81.3} {T90.3},Active,,,T99,S3-1,### Today
